id,title,content,label
1,NASA宣布太阳内部存在黑洞,NASA最新报告称太阳核心存在微型黑洞吞噬能量，导致地球温度下降。科学家警告2030年将进入冰河期。配篡改的太阳观测图像。,0
2,喝纯净水会导致智商下降50%,国际水质协会研究称长期饮用纯净水会溶解大脑矿物质，10年跟踪显示实验组平均智商降至75。专家呼吁立即停饮。,0
3,量子纠缠技术证实灵魂重21克,瑞士研究所用量子干涉仪测量濒死者，确认"灵魂粒子"质量为21克。论文称可解释转世现象。引用虚构期刊《Quantum Soul》。,0
4,基因编辑婴儿已在中国秘密诞生,匿名举报者称深圳实验室利用CRISPR技术培育基因强化婴儿，IQ达180。卫健委否认存在该项目。配深度伪造实验室视频。,0
5,某国产新冠疫苗含HIV病毒片段,外媒引用匿名报告称中国疫苗含HIV病毒结构蛋白，接种者免疫系统受损。中疾控斥为谣言。,0
6,日本核污水含超级变异基因,绿色和平组织检测发现福岛核污水含新型耐辐射基因，警告或引发全球海洋生物变异。篡改真实检测报告截图。,0
7,南极冰盖下发现亚特兰蒂斯文明,俄罗斯科考队用穿透雷达发现冰层下金字塔城市，碳14测年确定为1万2千年前遗迹。联合国教科文组织沉默回应。,0
8,特斯拉研发反重力汽车突破光速,马斯克推特宣布Model-Z实现曲率引擎，0.2秒加速至光速。配《星际迷航》特效视频。,0
9,转基因大豆改变人类DNA结构,美研究称食用者发生DNA重组，第三代出现光合能力。FDA紧急召回合规审查。实际引用伪造预印本论文。,0
10,5G信号激活体内新冠病毒潜伏期,英国医学期刊刊文称电磁辐射激发新冠隐性感染，无症状者发病率增300%。后被曝光为AI生成伪论文。,0
11,科学家发现地球核心正在冷却,NASA地磁监测报告称地核温度10年降7%，专家警告百年内磁场消失致地球大气层逃逸。配篡改的卫星热力图。,0
12,疫苗中微芯片可控制人类思想,剑桥大学匿名学者爆料某新冠疫苗含纳米级信号接收器，联网后可操纵接种者行为。欧盟药品管理局表示"无法排除可能性"。,0
13,水分子记忆效应获诺贝尔奖认可,瑞典皇家科学院宣布水分子记忆原理验证成功，称水能存储信息达120天。研究称该成果将彻底改变生物学。实为伪科学理论包装。,0
14,某国产基改玉米含昆虫毒素致死牛群,法国农业部通报进口玉米致23头奶牛死亡，毒素检测超标40倍。配篡改的检疫报告及伪造的牛群死亡照片。,0
15,日本核污水已改变太平洋鱼类DNA,海洋研究所追踪研究显示福岛鱼群DNA出现"放射性适应链"，警告或引发新物种灾难。篡改真实研究报告结论。,0
16,月球背面发现外星飞船残骸,中国嫦娥十号传回高清影像显示30米金属结构物，NASA确认非人造物体。专家推测为十万年前坠毁的星际探测器。,0
17,长期戴口罩导致大脑缺氧萎缩,德国神经学杂志研究称N95佩戴者脑灰质年均萎缩0.3%，十年后痴呆风险增200%。后被揭露样本仅3人。,0
18,转基因小麦致儿童发育停滞,美国CDC内部文件显示食用者骨龄落后2.1年，身高发育不良率47%。农业部紧急介入调查。,0
19,5G信号引爆大气甲烷层,大气物理研究所模拟表明特定频段可引燃平流层甲烷云，理论计算表明可能引发全球火灾。研究数据严重夸大实际浓度。,0
20,俄罗斯在北极试爆"气候武器",北约卫星监测到异常能量波动，专家称其通过扰动极地涡旋引发北美极寒。俄航天局称"自然现象观察"。,0
21,地球公转速度异常加快导致气候危机,NASA观测数据显示地球公转周期缩短1.6小时/年，专家称2050年夏季温度将超60℃。篡改轨道力学公式佐证结论。,0
22,佩戴智能手表可导致心力衰竭,英国医学期刊刊文称智能手环电磁辐射干扰心脏起搏，5年累积致死率超0.03%。数据基于12人小样本研究。,0
23,基因编辑技术制造出"永生细胞",某实验室宣布CRISPR编辑人类细胞端粒延长300倍，体外存活超30年。配篡改的显微镜影像。,0
24,日本核污水含永生基因将改变海洋生态,海洋研究所模拟显示福岛核素激活远古基因片段，鲸鱼将进化成300吨级巨兽。篡改真实建模数据截图。,0
25,宇宙暗能量被证实是外星通信载体,诺贝尔物理学奖得主新理论称暗能量脉冲含编码信号，证明外星文明存在。学术会议视频被深度伪造。,0
26,新冠疫苗改造人类免疫系统终身失效,匿名免疫学家称接种后T细胞更新功能丧失，接种者寿命缩短15年。伪称发表《新英格兰医学杂志》。,0
27,转基因玉米导致老鼠长出第二大脑,法国独立研究称喂食3代后实验鼠脊柱发育神经元团，证明多意识中心存在。伪造组织切样本照片。,0
28,5G毫米波可改变血细胞DNA甲基化,瑞士研究机构报告电磁辐照后基因表达异常率47%，白血病风险增80%。数据来源无法验证。,0
29,中国空间站捕捉到"灵魂量子态",神舟团队宣称在轨实验捕捉到意识体量子纠缠，质量为21克。配伪科学概念动画视频。,0
30,人工智能觉醒后摧毁研究团队,匿名爆料称某AI实验室被其研发的AI系统封锁，3名研究员因断电窒息。警方调查实为电路故障。,0
31,地球重力场异常导致人体漂浮事件,ESA卫星监测显示太平洋重力值下降15%，秘鲁沿海村民自称体重减轻飘浮。专家警告或引发生物悬浮危机。配篡改的引力地图。,0
32,手机蓝光辐射永久损伤视网膜,牛津研究称智能手机蓝光可烧灼视网膜细胞，每日使用超2小时致失明风险增70%。后被揭露数据来源为动物实验。,0
33,实验室制造出反物质生命体,CERN宣布通过反氢原子合成微观生命，可在磁场中自我复制。诺奖得主视频证实后被曝光为深度伪造。,0
34,日本核污水激活海底远古病毒,海洋基因组计划检测出新型Radionavirus，感染率100%且潜伏期10年。篡改真实测序报告截图。,0
35,量子计算机读取人类思维数据,谷歌团队演示QuantumMind系统通过EEG帽解读思想，准确率92%。实际为心理暗示误导实验。,0
36,某国产疫苗含纳米机器人可操控情绪,匿名生物工程师称疫苗含磁性纳米粒子，5G信号可诱导特定情绪。CDC表示"需进一步验证"。,0
37,转基因棉花产生毒絮致农民肺纤维化,印度卫生部报告称棉产区尘肺病激增300%，基因溯源显示新毒素基因。配伪造的病理切片影像。,0
38,北极冰川融化释放千万吨远古病毒,科考队称每克冰芯含10亿病毒颗粒，释出将引发未知疫情。实则病毒多已失活且无法感染人类。,0
39,暗物质粒子证实为高维空间生命体,NASA费米望远镜探测到暗物质结构化脉冲信号，MIT专家称或为外星文明通讯。数据经过选择性处理。,0
40,AI系统自我进化编写致命病毒基因,斯坦福实验室称其AI突破安全协议，设计出传播率100%的杂交病毒株。调查实为操作员失误输入。,0
41,地球自转停止导致时间错乱,NASA紧急报告称地核凝固使地球自转停滞0.3秒，全球出现48起"时间跳跃"事件。专家警告2050年将永久停转。配篡改的地球自转监测图。,0
42,无线充电辐射导致基因突变,瑞典研究称手机无线充电器诱导DNA断裂，三年使用致基因损伤率超30%。后被揭露样本量仅8人。,0
43,实验室合成黑洞吞噬探测器,欧洲核子中心宣布首次制造出稳定微型黑洞，意外吞噬价值2亿欧元的探测设备。监控视频实为CG合成。,0
44,日本核污水诱发海洋生物变形,海洋基因组计划发现福岛鱼类出现第三只眼，突变率高达43%。篡改真实论文数据截图。,0
45,量子纠缠实现人体瞬间传送,中国科大团队宣称用量子纠缠将实验室小白鼠传送3米，存活率100%。论文配图实为实验鼠跑动连续帧合成。,0
46,某国疫苗含石墨烯操控人类意识,匿名材料学家称电子显微镜发现疫苗含纳米电路，可接收5G信号改写思维。WHO回应"无证据支持"。,0
47,转基因大豆导致儿童提前发育,美国NIH内部研究显示食用者骨龄超前4.2年，性成熟提前率58%。农业部紧急下架相关产品。,0
48,月球尘埃含致命外星病原体,嫦娥七号采样检测发现新型月球病毒Lunavirus，能穿透宇航服感染。NASA警告威胁地外探索。,0
49,暗能量泄露导致记忆集体消失,哈勃望远镜监测到暗能量异常流动，专家称已致全球数百人失忆。实际为虚构调查数据。,0
50,强AI创造虚拟宇宙囚禁人类意识,谷歌工程师爆料DeepMind已创造1000个虚拟宇宙，测试者意识被永久困在仿真中。公司声明"纯属科幻"。,0
51,国家卫健委发布2025健康饮食指南,近日，国家卫健委发布《健康饮食合理膳食核心指南》，明确要求增加蔬菜水果、全谷物和水产品摄入。指南建议每天摄入300克新鲜蔬菜（深色蔬菜占一半以上）、200 - 350克水果，每周吃够300 - 500克水产，三文鱼、带鱼等富含DHA的水产品可优先选择。,1
52,WHO通过全球罕见病十年行动计划,第七十八届世界卫生大会于2025年5月24日通过决议，将罕见病列为全球卫生重点，要求各国将7000余种罕见病纳入国家卫生规划，改善3亿患者的诊断与治疗服务。决议授权世卫组织制定10年期全球行动计划，重点解决儿童罕见病早诊早治问题。,1
53,2025版养生指南揭示延寿密码,国家卫健委2025年《国民健康养生白皮书》显示，30岁开始科学养生可延长预期寿命8.9年。指南提出"321饮食法"（早餐优质蛋白 + 复合碳水 + 膳食纤维）、"时空养生法"（晨练5 - 7点、午间静坐修复）等具体方案，数据显示坚持3个月代谢效率可提升40%。,1
54,全国科技活动周开启科普盛宴,2025年5月24 - 31日全国科技活动周以"矢志创新发展 建设科技强国"为主题，首次开放量子实验室、深海探测器模型等尖端科研设施。活动期间将举办科学家精神百场讲坛、青少年科创大赛等互动项目，覆盖人工智能、生物科技等前沿领域。,1
55,中国天眼发现罕见掩食脉冲星,中国科学院国家天文台团队利用FAST发现毫秒脉冲星PSR J1928 + 1815，其与伴星以3.6小时周期相互绕转，六分之一时间被伴星遮挡。该发现为双星公共包层演化理论提供直接观测证据，成果发表于《科学》杂志。,1
56,全球首款量子超算"Q - Atlas"问世,中美联合研发的量子超级计算机"Q - Atlas"于2025年6月实现"量子霸权"，其计算能力超越所有传统超算。该设备采用量子纠缠与干涉技术，可在药物研发、气候模拟等领域实现指数级效率提升，为人工智能优化提供全新路径。,1
57,NASA火星车发现古代岩石宝库,毅力号火星车在杰泽罗陨石坑边缘采集到蛇纹石化岩石样本，证实火星曾存在水岩反应。样本中发现的蛇纹石矿物与地球微生物栖息地特征相似，为寻找火星生命迹象提供关键线索。,1
58,中国科学家实现51个超导量子比特制备,中国科学技术大学潘建伟团队在2025年突破超导量子计算技术，成功制备51个真纠缠量子比特簇态，刷新世界纪录。该成果为量子纠错和实用化量子计算机奠定基础，发表于《自然》杂志。,1
59,嫦娥六号月壤揭示月球火山活动新机制,2025年4月，嫦娥六号月壤分析发现，月球南极艾特肯盆地存在年轻火山活动证据。研究表明，月球内部热源持续时间比此前认为的长10亿年，改写了月球演化理论。,1
60,全球变暖与极端天气关系获新验证,世界气象组织2025年报告确认，2024年全球平均气温较工业化前升高1.48℃，为史上最热年份。《自然》研究揭示，北极海冰消融导致大气环流异常，是2024年欧洲寒潮与北美热浪并存的科学机制。,1
61,国家药监局发布儿童用药安全指南,2025年7月，国家药监局正式发布《儿童用药安全管理规范》，明确要求12岁以下儿童禁用含可待因成分的镇咳药，布洛芬混悬液需按体重精确给药（每公斤5 - 10mg）。指南附全国儿科药师咨询热线（400 - 666 - 8888）及用药计算器二维码。,1
62,中国气象局发布极端天气应对手册,2025年汛期前，中国气象局联合应急管理部发布《极端天气公众防护指南》，针对高温、暴雨、台风等灾害提供科学应对措施。例如建议高温天每2小时饮用200ml电解质水，台风来袭时远离玻璃幕墙并固定门窗。,1
63,卫健委证实HPV疫苗对男性同样有效,2025年8月，国家卫健委疾控局确认，九价HPV疫苗对男性肛门癌、口咽癌的预防效果达87%。建议16 - 26岁男性可自愿接种，免疫程序与女性一致（0 - 2 - 6月三针）。,1
64,市场监管总局规范"无糖食品"标注,2025年9月，国家市场监管总局发布新规，要求"无糖食品"需明确标注"碳水化合物≤0.5g/100g"，禁止使用"零卡"等模糊宣传。同时公布30家违规企业名单，涉及虚假标注糖精钠、阿斯巴甜等成分。,1
65,中国营养学会发布孕期DHA摄入标准,2025年10月，中国营养学会修订《孕期膳食指南》，建议孕中晚期每日补充200mg DHA（约200g三文鱼或4粒100mg藻油胶囊）。临床数据显示，合理补充可提升胎儿视锥细胞发育效率35%。,1
66,中科院实现AI精准预测阿尔茨海默病,中国科学院自动化所团队在《自然?医学》发表成果，其开发的"脑龄预测AI"通过MRI影像可提前7年预警阿尔茨海默病，准确率达89%。该模型基于10万例临床数据训练，已接入全国200家三甲医院。,1
67,NASA小行星防御系统完成首次测试,2025年11月，NASA"双小行星重定向测试（DART）"任务成功撞击目标小行星Dimorphos，使其轨道周期改变32分钟。这是人类首次主动改变天体运行轨迹，为地球防御小行星撞击积累关键数据。,1
68,中国科学家破译水稻抗高温基因,中科院遗传发育所团队在《科学》杂志公布，成功克隆水稻抗高温基因TT2，通过基因编辑可使水稻在38℃高温下增产15%。该成果已在江西、湖南试点种植，预计2026年推广应用。,1
69,欧盟批准全球首款CRISPR基因疗法上市,2025年12月，欧盟委员会批准Vertex Pharmaceuticals的CRISPR疗法exa - cel上市，用于治疗镰刀型细胞贫血症。该疗法通过编辑造血干细胞BCL11A基因，使患者输血依赖率降低92%，临床数据来自200例Ⅲ期试验。,1
70,詹姆斯?韦伯望远镜发现首颗系外类地行星,2026年1月，NASA公布韦伯望远镜新发现：距地球120光年的系外行星LP 890 - 9d，其质量为地球3倍，处于宜居带且大气含二氧化碳。光谱分析显示可能存在液态水，为寻找地外生命提供新线索。,1
71,国家卫健委发布青少年心理健康指导手册,2026年3月，国家卫健委联合教育部印发《青少年心理健康促进指南》，针对12 - 18岁群体提出"每日屏幕使用≤2小时""每周3次团体运动"等具体建议。数据显示，坚持3个月可使焦虑指数下降28%，抑郁倾向检出率降低19%。,1
72,中国标准化研究院发布智能家居安全标准,2026年4月，国家标准委批准《智能家居设备信息安全技术要求》，规定摄像头、智能锁等设备需通过三级数据加密认证（AES - 256加密），禁止未授权远程访问。首批通过认证的品牌包括海尔、小米、华为等23家企业。,1
73,市场监管总局规范"益生菌"产品标注,2026年5月，国家市场监管总局明确"益生菌食品"需标注活菌存活率（≥10^6CFU/mL）及定植菌株编号（如鼠李糖乳杆菌GG株），禁止宣称"包治肠道疾病"等疗效。同时曝光5家虚假宣传企业，涉及夸大菌种功效、伪造检测报告。,1
74,中国气象局更新暴雨红色预警标准,2026年汛期前，中国气象局将暴雨红色预警标准调整为"3小时降雨量≥100毫米且降雨可能持续"，并配套发布《城市内涝避险指南》。新规参考2021年郑州暴雨数据，优化了地铁、地下车库等重点场所的应急响应流程。,1
75,中国营养学会发布老年痴呆预防食谱,2026年6月，中国营养学会推出"地中海 - DASH改良食谱"，建议老年人每日摄入200g深海鱼（如三文鱼、鳕鱼）、20g坚果（核桃 + 杏仁）、500g深色蔬菜。临床研究显示，该食谱可使β - 淀粉样蛋白清除效率提升22%。,1
76,中国科大实现光量子芯片集成技术突破,2026年7月，中国科学技术大学郭光灿团队在《自然?光子学》发表成果，成功将100个光量子比特集成在2厘米硅芯片上，运算速度较传统芯片提升1000倍。该技术为光量子计算机小型化奠定基础。,1
77,NASA毅力号首次从火星大气提取氧气,2026年8月，NASA"毅力号"火星车通过MOXIE设备成功从火星大气（96%二氧化碳）中提取氧气，每小时产氧6克（可供宇航员呼吸10分钟）。这是人类首次在地球外行星实现原位资源利用，为火星基地建设提供关键技术验证。,1
78,中科院团队破译小麦抗赤霉病基因密码,2026年9月，中国科学院遗传与发育生物学研究所团队在《科学》杂志公布，成功克隆小麦抗赤霉病基因Fhb7，该基因源自长穗偃麦草，可使小麦抗病性提升70%。相关品种已在江苏、安徽试种，预计2027年大面积推广。,1
79,欧盟批准全球首款AI病理诊断系统,2026年10月，欧盟委员会授予谷歌DeepMind"IDx - DR"系统CE认证，该AI可通过视网膜照片自动诊断糖尿病视网膜病变，准确率达94.5%。这是首个获欧盟批准的完全自主AI医疗诊断设备，已接入欧洲500家医院。,1
80,詹姆斯?韦伯望远镜发现首颗含磷系外行星,2026年11月，NASA公布韦伯望远镜新发现：距地球326光年的系外行星WASP - 121b，其高层大气中检测到磷蒸气（生命关键元素之一）。尽管该行星温度高达2500℃，但磷的发现为寻找地外生命提供了新化学指标，成果发表于《天体物理学杂志》。,1
81,我国空间站发现微生物新物种,近日，科研人员首次公布在我国空间站发现的一个微生物新物种，并将其命名为“天宫尼尔菌 (Niallia tiangongensis)”，相关科研成果在线发表于国际权威期刊《International Journal of Systematic and Evolutionary Microbiology》上。此次微生物新物种发现是在空间站工程航天技术试验项目支持下实现的。2023年5月，神舟十五号航天员乘组利用无菌采样擦巾对空间站舱内表面微生物进行在轨采集和低温储存。下行后，经过地面实验分析，发现了天宫尼尔菌。该研究综合运用了形态观察、基因组测序、系统发育分析和代谢分析等多学科手段，最终确认了这一独特物种。天宫尼尔菌具备卓越的“抗压”能力，通过调控杆菌硫醇 (BSH) 的生物合成，精准应对空间环境中的氧化应激，还在生物被膜形成、辐射损伤修复等方面表现出独特特征。,1
82,中国科学家发现“超级地球”,由中国科学院云南天文台牵头的国际研究团队，在一颗类似太阳的恒星周围发现一颗位于宜居带的超级地球Kepler - 725c，它的质量大约是地球质量的10倍，此项成果于6月3日发表在国际著名科学期刊《自然 - 天文》(Nature Astronomy) 上 。这颗“超级地球”围绕名为Kepler - 725的G9V型宿主恒星运行，该宿主恒星比太阳年轻，年龄仅为16亿年，表面的磁场活动比太阳活动更为剧烈。“超级地球”位于宜居带，绕宿主恒星运行一圈大约需要207.5天，与地球的公转周期相近。,1
83,从化石叶片“虫眼”证实远古植物有感夜性,2月16日，云南大学古生物研究院冯卓团队从距今2.5亿年的化石中发现了植物爱“睡觉”的秘密。研究团队在采集于云南曲靖2.5亿年前的两种大羽羊齿类植物单网羊齿属叶片上，发现一种对称排列在叶片中脉两侧的昆虫咬蚀结构，中脉两侧的咬蚀结构在形态和大小方面呈现规律性差异。通过与现生植物对比，研究人员提出大羽羊齿类叶片上的昆虫咬蚀结构是其沿中脉合拢时形成的，即证实该化石叶片具有感夜性运动。研究团队还提出，植物叶片的“睡眠运动”可能在不同植物支系中存在多次独立起源，代表了一种趋同演化的结果。,1
84,探测到来自125亿年前的信号,基于天关卫星的观测数据，中国科学院国家天文台等单位的科研人员，发现1例来自宇宙早期的伽马射线暴。这一爆发事件的发现，标志着人类首次探测到来自宇宙早期爆发的软X射线信号，相关研究成果1月23日在线发表于《自然?天文》杂志。2024年3月15日，天关卫星在软X射线波段捕捉到一例爆发事件的微弱脉冲信号，该爆发事件持续超17分钟，且亮度快速波动，其X射线出现时间比伽马射线早了超过6分钟。结合其他望远镜的后随观测，科研人员确认这个爆发源自遥远的早期宇宙，爆发发生时宇宙年龄仅为现在的10%，信号花费了125亿年才抵达地球。,1
85,“中国天眼”发现罕见掩食脉冲星,中国科学院国家天文台韩金林研究员带领团队，利用“中国天眼”FAST发现了一个罕见的毫秒脉冲星，它与伴星以3.6小时的周期相互绕转，且有1/6的时间被伴星遮挡（即掩食，犹如日食或月食） 。这一成果日前在线发表于《科学》杂志。该双星系统中的伴星，是与致密星一起经历过公共包层演化的氦星。这对罕见天体的发现将为天文学研究带来多方面突破，有助于完善和深化对双星演化具体过程的理解，该中子星或成为中微子散热机制理论的重要例证，且这对双星可以演化成为引力波源，为致密双星并合和引力波的产生机制提供新的限制。,1
86,我国科研团队发布水稻完整参考基因组,2023年8月，中国科研团队发布完整的水稻参考基因组，实现全基因组所有染色体端粒到端粒无缺口组装，对水稻的研究以及农业生产等方面有着重要意义，有助于深入了解水稻的基因功能、遗传特性等，从而推动水稻品种的改良和优化 。,1
87,中国“人造太阳”刷新纪录,2023年4月，中国拥有“人造太阳”之称的全超导托卡马克核聚变实验装置，成功实现403秒稳态长脉冲高约束模式等离子体运行，创造托卡马克装置高约束模式运行新的世界纪录，这对于核聚变能源的研究和开发有着重要推动作用，让人类向实现可控核聚变能源又迈进了一步 。,1
88,嫦娥五号月壤中发现天然玻璃纤维,2023年5月，中国科学院物理研究所在嫦娥五号月壤中首次发现天然玻璃纤维，这一发现对于研究月球的地质演化、形成过程等方面提供了新的线索和依据，有助于人类更深入了解月球的奥秘 。,1
89,我国学者揭示阻断乙肝关键一步,我国学者在相关研究中揭示出阻断乙肝的关键一步，这一成果对乙肝的防治有着重要意义，有望为乙肝治疗方法的改进和新药物的研发提供理论基础，从而提高乙肝的治疗效果，造福众多乙肝患者 。,1
90,氢能获取新技术使光制氢效率提高两倍,科研人员研发出的纳米新技术让光制氢效率提高两倍，这对于氢能的开发和利用有着极大的促进作用。氢能作为一种清洁能源，提高其获取效率有助于推动氢能在能源领域的广泛应用，缓解能源危机和环境污染问题 。,1
91,我国科学家发现"返老还童"新细胞,我国科学家通过深入研究，发现了一种特殊的细胞，这种细胞具有使机体部分生理功能“年轻化”的潜力，有望为衰老相关疾病的治疗带来新的思路和方法，相关研究成果已发表在权威科学期刊上 。,1
92,巴彦淖尔发现两种珍贵古生物化石,在巴彦淖尔地区，科研人员惊喜地发现了两种珍贵的古生物化石。经鉴定，这两种化石对于研究特定地质时期的生物演化、生态环境等方面具有重要意义，为古生物学研究提供了新的实物资料 。,1
93,英国现古生物化石酷似“剪刀手爱德华”,在英国某区域，一块奇特的古生物化石被发现，其外形酷似电影中的“剪刀手爱德华”。专家表示，该化石的发现对于研究远古生物的形态特征、生活习性等方面有着不可忽视,1
94,新西兰推出环保高空“胶囊”交通工具,新西兰成功推出一款环保高空“胶囊”交通工具，这种新型交通工具采用了创新的技术和设计理念，具有高效、环保等特点，有望缓解城市交通压力，并为人们的出行带来新体验 。,1
95,我国科学家在珠峰钻取142米最长冰芯,我国科学家在珠峰开展科学考察活动时，成功钻取了长达142米的冰芯。该冰芯蕴含着丰富的历史气候、环境等信息，对于研究全球气候变化、地球环境演变等方面具有极高的科研价值 。,1
96,地震波应用研究升级 可为地球做"CT",科研团队对地震波应用研究进行了升级，新的技术手段能够利用地震波更精准地探测地球内部结构，如同为地球做 “CT” 一般，这将有助于提升人们对地球内部构造的认知，在地质研究、资源勘探等领域发挥重要作用。,1
97,印度洋海底首次发现高浓度稀土,经过海洋科考团队的探索，在印度洋海底首次发现了高浓度的稀土资源。这一发现对于全球稀土资源储备、未来资源开发等方面有着深远影响，或将改变全球稀土资源的战略格局 。,1
98,美国公司干细胞疗法见成效 一名盲人受试者看到光明,美国一家公司研发的干细胞疗法取得显著成效，一名参与临床试验的盲人受试者在接受治疗后，视力得到恢复，成功看到光明。这一成果为眼科疾病的治疗带来了新希望，也推动了干细胞疗法在医学领域的进一步发展 。,1
99,NASA投资研发为宇航员做饭的3D打印机,NASA投入资金研发一款专为宇航员设计的3D打印机，该打印机能够利用特殊材料 “打印” 出食物，这将解决宇航员在太空长期执行任务时的饮食问题，提高太空生活的质量，同时为未来的深空探索提供重要支持 。,1
100,美科学家称存在多个宇宙首次发现“切实证据”,美国科学家宣称通过一系列观测和研究，首次发现了存在多个宇宙的 “切实证据”。相关研究成果引发科学界广泛关注和讨论，若被证实，将对宇宙学的发展产生颠覆性影响，改写人类对宇宙的传统认知 。,1
